agency,location,project_title,year,project_link,award_status,file_type,latitude,longitude,formatted_address,place_id,types,street_number,route,locality,sublocality,administrative_area_level_1,administrative_area_level_2,country,postal_code
Boston Police Department,"Massachusetts, USA",Operation Cease Fire,1998,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1998/98-08(W).pdf,Submission,pdf,42.3600825,-71.0588801,"Boston, MA, USA",ChIJGzE9DS1l44kRoOhiASS_fHg,"locality,political",,,Boston,,Massachusetts,Suffolk County,United States,
Boulder Police Department,"Colorado, USA",University Hill Community Improvement Plan,2002,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2002/02-02.pdf,Submission,pdf,40.0177798,-105.2503787,"1805 33rd St, Boulder, CO 80301, USA",ChIJ5ffln9vta4cRykW-uid5AQE,"establishment,local_government_office,point_of_interest,police",1805,33rd Street,Boulder,,Colorado,Boulder County,United States,80301
Boulder Police Department,"Colorado, USA","Underage Alcohol Abuse: A Reformation, The Boulder Experience",1997,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1997/97-05.pdf,Submission,pdf,40.0177798,-105.2503787,"1805 33rd St, Boulder, CO 80301, USA",ChIJ5ffln9vta4cRykW-uid5AQE,"establishment,local_government_office,point_of_interest,police",1805,33rd Street,Boulder,,Colorado,Boulder County,United States,80301
Boulder Police Department,"Colorado, USA",San Juan Del Centro Housing Complex,1996,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1996/96-06.pdf,Submission,pdf,40.0177798,-105.2503787,"1805 33rd St, Boulder, CO 80301, USA",ChIJ5ffln9vta4cRykW-uid5AQE,"establishment,local_government_office,point_of_interest,police",1805,33rd Street,Boulder,,Colorado,Boulder County,United States,80301
Boulder Police Department,"Colorado, USA",Enough Is Enough: A Plan to Address Alcohol Use Among Our Communitys Youth,1994,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1994/94-02.pdf,Submission,pdf,40.0177798,-105.2503787,"1805 33rd St, Boulder, CO 80301, USA",ChIJ5ffln9vta4cRykW-uid5AQE,"establishment,local_government_office,point_of_interest,police",1805,33rd Street,Boulder,,Colorado,Boulder County,United States,80301
Bridgeport Police Department,"Connecticut, USA",AntiGraffiti ProblemSolving Project,2001,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2001/01-07.pdf,Submission,pdf,41.1816184,-73.1925486,"300 Congress St, Bridgeport, CT 06604, USA",ChIJAzhBu3oO6IkRs3_91bRrfQo,"establishment,point_of_interest,police",300,Congress Street,Bridgeport,,Connecticut,Fairfield County,United States,6604
British Transport Police,United Kingdom,Reducing Suicide: A Problem Solving Partnership Approach between British Transport Police and the Rail Industry,2018,https://popcenter.asu.edu/sites/default/files/18-12_british_transport_police.pdf,Finalist,pdf,55.378051,-3.435973,United Kingdom,ChIJqZHHQhE7WgIReiWIMkOg-MQ,"country,political",,,,,,,United Kingdom,
Broken Arrow Police Department,"Oklahoma, USA",Operation Dont Meth Around,2002,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2002/02-03.pdf,Submission,pdf,36.0628961,-95.7813885,"1101 N 6th St, Broken Arrow, OK 74012, USA",ChIJ5dtXG6DTJRUR_QP6IVu-6Gk,"establishment,point_of_interest,police",1101,North 6th Street,Broken Arrow,,Oklahoma,Tulsa County,United States,74012
Brooklyn Center Police Department,"Minnesota, USA",Problem Oriented Policing Through Community Partnerships and MultiAgency Collaboration,2013,https://popcenter.asu.edu/sites/default/files/13-09_brooklyn_center_mn.pdf,Submission,pdf,45.0769067,-93.3005457,"6645 N Humboldt Ave, Brooklyn Center, MN 55430, USA",ChIJjZrf9kQws1IR7fk3ezHb5VQ,"establishment,point_of_interest,police",6645,North Humboldt Avenue,Brooklyn Center,,Minnesota,Hennepin County,United States,55430
Brooklyn Park Police Department,"Minnesota, USA",The Huntington Project,2011,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2011/11-50.pdf,Submission,pdf,45.11001,-93.34982,"5400 85th Ave N, Brooklyn Park, MN 55443, USA",ChIJbycnIQU6s1IRnedjoBpw3fo,"establishment,point_of_interest,police",5400,85th Avenue North,Brooklyn Park,,Minnesota,Hennepin County,United States,55443
Broward County Sheriff's Office,"Florida, USA",Sheriffs Targeted AntiCrime Response Team,2002,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2002/02-04.pdf,Submission,pdf,26.190096,-80.365865,"Broward County, FL, USA",ChIJFUaCG35_2YgRFNYLv44fMaA,"administrative_area_level_2,political",,,,,Florida,Broward County,United States,
Broward County Sheriff's Office,"Florida, USA",Assigned Community Area of Responsibility,1996,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1996/96-07.pdf,Submission,pdf,26.190096,-80.365865,"Broward County, FL, USA",ChIJFUaCG35_2YgRFNYLv44fMaA,"administrative_area_level_2,political",,,,,Florida,Broward County,United States,
Bryan Police Department,"Texas, USA",Summer Sundays at Sadie Thomas Park,2003,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2003/03-03.pdf,Submission,pdf,30.6699783,-96.371088,"303 E 29th St, Bryan, TX 77803, USA",ChIJabvWpZiBRoYRTDwrwkiO8xE,"establishment,point_of_interest,police",303,East 29th Street,Bryan,,Texas,Brazos County,United States,77803
Buffalo Police Department,"New York, USA",Workable Solutions to the Problem of Street Prostitution,2001,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2001/01-08(F).pdf,Submission,pdf,42.8864468,-78.8783689,"Buffalo, NY, USA",ChIJoeXfUmES04kRcYEfGKUEI5g,"locality,political",,,Buffalo,,New York,Erie County,United States,
Buffalo Police Department,"New York, USA",Jefferson Avenue Neighborhood Initiative,1996,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1996/96-08.pdf,Submission,pdf,42.8864468,-78.8783689,"Buffalo, NY, USA",ChIJoeXfUmES04kRcYEfGKUEI5g,"locality,political",,,Buffalo,,New York,Erie County,United States,
Burnsville Police Department,"Minnesota, USA",Putting the Manners Back in Chancellor Manor,2002,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2002/02-05.pdf,Submission,pdf,44.7677424,-93.2777226,"Burnsville, MN, USA",ChIJnXv6uF869ocR1IoSyf44U7M,"locality,political",,,Burnsville,,Minnesota,Dakota County,United States,
California Department of Alcoholic Beverage Control,USA,Grant Assistance Program,2002,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2002/02-06.pdf,Submission,pdf,36.778261,-119.4179324,"California, USA",ChIJPV4oX_65j4ARVW8IJ6IJUYs,"administrative_area_level_1,political",,,,,California,,United States,
California Department of Alcoholic Beverage Control,USA,Grant Assistance to Law Enforcement,1995,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1995/95-11.pdf,Submission,pdf,36.778261,-119.4179324,"California, USA",ChIJPV4oX_65j4ARVW8IJ6IJUYs,"administrative_area_level_1,political",,,,,California,,United States,
California Division of Law Enforcement,USA,Statewide Integrated Narcotics System,1995,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1995/95-12.pdf,Submission,pdf,36.778261,-119.4179324,"California, USA",ChIJPV4oX_65j4ARVW8IJ6IJUYs,"administrative_area_level_1,political",,,,,California,,United States,
California Highway Patrol,USA,Arrive Alive Sober Driving Coalition Program,2012,https://popcenter.asu.edu/sites/default/files/12-21_california_highway_patrol.pdf,Submission,pdf,36.778261,-119.4179324,"California, USA",ChIJPV4oX_65j4ARVW8IJ6IJUYs,"administrative_area_level_1,political",,,,,California,,United States,
California Highway Patrol,USA,Not One More!,2009,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2009/09-33.pdf,Submission,pdf,36.778261,-119.4179324,"California, USA",ChIJPV4oX_65j4ARVW8IJ6IJUYs,"administrative_area_level_1,political",,,,,California,,United States,
California Highway Patrol,USA,Operation Impact,2008,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2008/08-04.pdf,Submission,pdf,36.778261,-119.4179324,"California, USA",ChIJPV4oX_65j4ARVW8IJ6IJUYs,"administrative_area_level_1,political",,,,,California,,United States,
California Highway Patrol,USA,Traffic Safety Outreach to the African American Community,2005,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2005/05-02.pdf,Submission,pdf,36.778261,-119.4179324,"California, USA",ChIJPV4oX_65j4ARVW8IJ6IJUYs,"administrative_area_level_1,political",,,,,California,,United States,
California Highway Patrol,USA,Commercial Industry Education Program,2004,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2004/04-03.pdf,Submission,pdf,36.778261,-119.4179324,"California, USA",ChIJPV4oX_65j4ARVW8IJ6IJUYs,"administrative_area_level_1,political",,,,,California,,United States,
California Highway Patrol,USA,California Child Safety AMBER Network,2003,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2003/03-04.pdf,Submission,pdf,36.778261,-119.4179324,"California, USA",ChIJPV4oX_65j4ARVW8IJ6IJUYs,"administrative_area_level_1,political",,,,,California,,United States,
California Highway Patrol,USA,Vehicle Ownership Security,2003,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2003/03-05(F).pdf,Submission,pdf,36.778261,-119.4179324,"California, USA",ChIJPV4oX_65j4ARVW8IJ6IJUYs,"administrative_area_level_1,political",,,,,California,,United States,
California Highway Patrol,USA,Safety and Farm Labor Vehicle Education Program,2002,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2002/02-07(W).pdf,Submission,pdf,36.778261,-119.4179324,"California, USA",ChIJPV4oX_65j4ARVW8IJ6IJUYs,"administrative_area_level_1,political",,,,,California,,United States,
California Highway Patrol,USA,Corridor Safety Program: A Collaborative Approach to Traffic Safety,2001,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2001/01-09(W).pdf,Submission,pdf,36.778261,-119.4179324,"California, USA",ChIJPV4oX_65j4ARVW8IJ6IJUYs,"administrative_area_level_1,political",,,,,California,,United States,
Carabineros de Chile,Chile,SOSAFE: Using Social Media to Communicate with the Public,2019,https://popcenter.asu.edu/sites/default/files/19-05_chile_sosafe.pdf,Submission,pdf,-35.675147,-71.542969,Chile,ChIJL68lBEHFYpYRHbkCERPhBQU,"country,political",,,,,,,Chile,
Carabineros de Chile,Chile,Search and Recovery of Stolen Cars with Paid Parking,2018,https://popcenter.asu.edu/sites/default/files/18-11_carabineros_de_chile.pdf,Submission,pdf,-35.675147,-71.542969,Chile,ChIJL68lBEHFYpYRHbkCERPhBQU,"country,political",,,,,,,Chile,
Carabineros de Chile,Chile,Police Intervention: Security Building with the School Community,2009,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2009/09-45.pdf,Submission,pdf,-35.675147,-71.542969,Chile,ChIJL68lBEHFYpYRHbkCERPhBQU,"country,political",,,,,,,Chile,
Carabineros de Chile,Chile,Police Intervention: Solution to a Road Safety Problem,2009,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2009/09-46.pdf,Submission,pdf,-35.675147,-71.542969,Chile,ChIJL68lBEHFYpYRHbkCERPhBQU,"country,political",,,,,,,Chile,
Carol Stream Police Department,"Illinois, USA",Carolwood Park Action Team,1997,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1997/97-06.pdf,Submission,pdf,41.9161375,-88.1221069,"500 N Gary Ave, Carol Stream, IL 60188, USA",ChIJ2Y96QiWrD4gRjTP3g_sbw6s,"establishment,local_government_office,point_of_interest,police",500,North Gary Avenue,Carol Stream,,Illinois,DuPage County,United States,60188
Carrollton Police Department,"Texas, USA",Reducing Vehicle Burglaries,2005,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2005/05-03(F).pdf,Submission,pdf,32.9765164,-96.8868105,"2025 E Jackson Rd, Carrollton, TX 75006, USA",ChIJU4llrXkmTIYRRryXxpO51SU,"establishment,point_of_interest,police",2025,East Jackson Road,Carrollton,,Texas,Dallas County,United States,75006
Casper Police Department,"Wyoming, USA",Central Casper Weed and Seed Program,2011,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2011/11-29.pdf,Submission,pdf,42.848709,-106.2980824,"Casper, WY, USA",ChIJY3peyGWTYIcRUz40Fzn8zmk,"locality,political",,,Casper,,Wyoming,Natrona County,United States,
Casper Police Department,"Wyoming, USA",Casper Community Meth Watch Committee,2006,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2006/06-07.pdf,Submission,pdf,42.848709,-106.2980824,"Casper, WY, USA",ChIJY3peyGWTYIcRUz40Fzn8zmk,"locality,political",,,Casper,,Wyoming,Natrona County,United States,
Central Connecticut State University,"Connecticut, USA",Combatting Underage Drinking,2009,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2009/09-32.pdf,Submission,pdf,41.6931245,-72.7638508,"1615 Stanley St, New Britain, CT 06050, USA",ChIJpeAV62ay54kR-3E8Z-hkKqk,"establishment,point_of_interest,school,university",1615,Stanley Street,New Britain,,Connecticut,Hartford County,United States,6050
Champlin Police Department,"Minnesota, USA",Livable Housing Unit,1997,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1997/97-07.pdf,Submission,pdf,45.1720199,-93.3939743,"11955 Champlin Dr, Champlin, MN 55316, USA",ChIJfe5yYjI5s1IRDVdndqABFZg,"establishment,point_of_interest,police",11955,Champlin Drive,Champlin,,Minnesota,Hennepin County,United States,55316
Charlotte-Mecklenburg Police Department,"North Carolina, USA",Be S.M.A.R.T. Cellphone Larceny Reduction,2015,https://live-cpop.ws.asu.edu/sites/default/files/org/15-18_charlotte-mecklenburg.pdf,Submission,pdf,35.2227166,-80.8374925,"601 E Trade St, Charlotte, NC 28202, USA",ChIJk2CotiSgVogRdZLBI3pKKbY,"establishment,local_government_office,point_of_interest,police",601,East Trade Street,Charlotte,,North Carolina,Mecklenburg County,United States,28202
Charlotte-Mecklenburg Police Department,"North Carolina, USA",Habitual Larceny:Reducing Shoplifting through Repeat Offenders,2015,https://live-cpop.ws.asu.edu/sites/default/files/org/15-22_charlotte-mecklenburg.pdf,Submission,pdf,35.2227166,-80.8374925,"601 E Trade St, Charlotte, NC 28202, USA",ChIJk2CotiSgVogRdZLBI3pKKbY,"establishment,local_government_office,point_of_interest,police",601,East Trade Street,Charlotte,,North Carolina,Mecklenburg County,United States,28202
Charlotte-Mecklenburg Police Department,"North Carolina, USA",S.C.H.A.R.C.: South Charlotte Homeowners Against Residential Crime,2012,https://popcenter.asu.edu/sites/default/files/12-19_charlotte-mecklenburg.pdf,Submission,pdf,35.2227166,-80.8374925,"601 E Trade St, Charlotte, NC 28202, USA",ChIJk2CotiSgVogRdZLBI3pKKbY,"establishment,local_government_office,point_of_interest,police",601,East Trade Street,Charlotte,,North Carolina,Mecklenburg County,United States,28202
Charlotte-Mecklenburg Police Department,"North Carolina, USA",Electronic Monitoring Program,2009,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2009/09-44.pdf,Submission,pdf,35.2227166,-80.8374925,"601 E Trade St, Charlotte, NC 28202, USA",ChIJk2CotiSgVogRdZLBI3pKKbY,"establishment,local_government_office,point_of_interest,police",601,East Trade Street,Charlotte,,North Carolina,Mecklenburg County,United States,28202
Charlotte-Mecklenburg Police Department,"North Carolina, USA",Operation Safe Storage,2007,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2007/07-06(F).pdf,Submission,pdf,35.2227166,-80.8374925,"601 E Trade St, Charlotte, NC 28202, USA",ChIJk2CotiSgVogRdZLBI3pKKbY,"establishment,local_government_office,point_of_interest,police",601,East Trade Street,Charlotte,,North Carolina,Mecklenburg County,United States,28202
Charlotte-Mecklenburg Police Department,"North Carolina, USA",Prostitution Exclusion Zone,2006,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2006/06-08.pdf,Submission,pdf,35.2227166,-80.8374925,"601 E Trade St, Charlotte, NC 28202, USA",ChIJk2CotiSgVogRdZLBI3pKKbY,"establishment,local_government_office,point_of_interest,police",601,East Trade Street,Charlotte,,North Carolina,Mecklenburg County,United States,28202
Charlotte-Mecklenburg Police Department,"North Carolina, USA",Belmont Neighborhood Violence Reduction Project,2005,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2005/05-04(F).pdf,Submission,pdf,35.2227166,-80.8374925,"601 E Trade St, Charlotte, NC 28202, USA",ChIJk2CotiSgVogRdZLBI3pKKbY,"establishment,local_government_office,point_of_interest,police",601,East Trade Street,Charlotte,,North Carolina,Mecklenburg County,United States,28202
Charlotte-Mecklenburg Police Department,"North Carolina, USA",Lake Norman Sandbar Project,2004,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2004/04-04.pdf,Submission,pdf,35.2227166,-80.8374925,"601 E Trade St, Charlotte, NC 28202, USA",ChIJk2CotiSgVogRdZLBI3pKKbY,"establishment,local_government_office,point_of_interest,police",601,East Trade Street,Charlotte,,North Carolina,Mecklenburg County,United States,28202
Charlotte-Mecklenburg Police Department,"North Carolina, USA",Providence High School Traffic Plan,2004,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2004/04-05.pdf,Submission,pdf,35.2227166,-80.8374925,"601 E Trade St, Charlotte, NC 28202, USA",ChIJk2CotiSgVogRdZLBI3pKKbY,"establishment,local_government_office,point_of_interest,police",601,East Trade Street,Charlotte,,North Carolina,Mecklenburg County,United States,28202
